ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10706041,HZ462529,10/05/2016 06:06:00 PM,038XX W NORTH AVE,0460,BATTERY,SIMPLE,TAVERN/LIQUOR STORE,False,False,2535,25.0,30.0,23.0,08B,1150456.0,1910359.0,2016,02/10/2018 03:50:01 PM,41.909927337,-87.72272252299999,"(41.909927337, -87.722722523)"
2052479,HH270466,03/21/2002 07:00:00 AM,064XX S KENNETH AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,813,8.0,,,14,1147815.0,1861574.0,2002,02/28/2018 03:56:25 PM,41.776106006,-87.73367586799999,"(41.776106006, -87.733675868)"
3777341,HL147600,01/27/2005 06:15:00 AM,039XX N OCTAVIA AVE,0460,BATTERY,SIMPLE,STREET,False,False,1631,16.0,36.0,17.0,08B,1126703.0,1925386.0,2005,02/28/2018 03:56:25 PM,41.951594186,-87.809645761,"(41.951594186, -87.809645761)"
10986532,JA312910,06/18/2017 11:12:00 PM,044XX W HARRISON ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,ALLEY,True,False,1131,11.0,24.0,26.0,08A,1146974.0,1897120.0,2017,02/10/2018 03:50:01 PM,41.873665365,-87.735852744,"(41.873665365, -87.735852744)"
4413765,HL709438,11/01/2005 09:00:00 AM,017XX W WABANSIA AVE,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,False,False,1433,14.0,32.0,24.0,06,1164293.0,1911361.0,2005,02/28/2018 03:56:25 PM,41.91239534,-87.671862643,"(41.91239534, -87.671862643)"
4345268,HL575933,08/27/2005 10:41:00 PM,077XX S HERMITAGE AVE,1661,GAMBLING,GAME/DICE,STREET,True,False,611,6.0,17.0,71.0,19,1166027.0,1853271.0,2005,02/28/2018 03:56:25 PM,41.752953568,-87.667147411,"(41.752953568, -87.667147411)"
3731179,HL101107,01/01/2005 06:30:00 AM,135XX S AVENUE N,0890,THEFT,FROM BUILDING,RESIDENCE,False,True,433,4.0,10.0,55.0,06,1201435.0,1815881.0,2005,02/10/2018 03:50:01 PM,41.649526548000004,-87.538657662,"(41.649526548, -87.538657662)"
6424196,HP507050,08/10/2008 09:00:00 PM,018XX N LUNA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2532,25.0,37.0,25.0,14,1139104.0,1911769.0,2008,02/28/2018 03:56:25 PM,41.914010726,-87.764391303,"(41.914010726, -87.764391303)"
10286433,HY471981,10/22/2015 12:35:00 PM,015XX N FAIRFIELD AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,1423,14.0,26.0,24.0,03,1157807.0,1910025.0,2015,02/10/2018 03:50:01 PM,41.908864038000004,-87.695726979,"(41.908864038, -87.695726979)"
5793340,HN568293,09/04/2007 12:00:00 AM,030XX N MAJOR AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,2514,25.0,30.0,19.0,05,1137844.0,1919659.0,2007,02/28/2018 03:56:25 PM,41.935684604,-87.76882956700001,"(41.935684604, -87.768829567)"
1740062,G546723,09/12/2001 07:40:00 AM,046XX N FRANCISCO AV,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,False,1713,17.0,,,05,1156164.0,1930749.0,2001,08/17/2015 03:03:40 PM,41.965765525,-87.70120124299999,"(41.965765525, -87.701201243)"
7957707,HT187924,03/03/2011 02:30:00 PM,034XX W WABANSIA AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,False,1422,14.0,26.0,23.0,06,1153230.0,1911085.0,2011,02/10/2018 03:50:01 PM,41.911864905,-87.712512617,"(41.911864905, -87.712512617)"
4636796,HM154380,01/30/2006 10:15:28 PM,006XX N CICERO AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1532,15.0,28.0,25.0,18,1144251.0,1903638.0,2006,02/28/2018 03:56:25 PM,41.891603116999995,-87.745686519,"(41.891603117, -87.745686519)"
2728627,HJ360409,05/13/2003 11:58:45 AM,025XX S HOMAN AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,1024,10.0,22.0,30.0,24,1154104.0,1887019.0,2003,02/28/2018 03:56:25 PM,41.845807905,-87.709943959,"(41.845807905, -87.709943959)"
6376236,HP461078,07/18/2008 10:30:00 PM,039XX W WASHINGTON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT/GROUNDS,False,False,1122,11.0,28.0,26.0,14,1150156.0,1900128.0,2008,02/28/2018 03:56:25 PM,41.881858277,-87.724091496,"(41.881858277, -87.724091496)"
5646395,HN456883,07/10/2007 04:00:00 AM,032XX N CLARK ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,False,1924,19.0,44.0,6.0,06,1169876.0,1921615.0,2007,02/10/2018 03:50:01 PM,41.940412833,-87.65105256700001,"(41.940412833, -87.651052567)"
6464491,HP543034,08/30/2008 04:00:00 AM,019XX S LOOMIS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1222,12.0,25.0,31.0,14,1167340.0,1890759.0,2008,02/28/2018 03:56:25 PM,41.855796887,-87.661261562,"(41.855796887, -87.661261562)"
